CNS_ID,UnifiedID
C24-026,UNIFIED_000248
C24-028,UNIFIED_000211
C24-035,UNIFIED_000020
C24-037,UNIFIED_000029
C24-045,UNIFIED_000221
C24-047,UNIFIED_000001
C24-049,UNIFIED_000014
C24-054,UNIFIED_000251
C24-055,UNIFIED_000259
C24-057,UNIFIED_000195
C24-059,UNIFIED_000260
C24-060,UNIFIED_000256
C24-070,UNIFIED_000009
C24-076,UNIFIED_000034
C24-086,UNIFIED_000264
C24-094,UNIFIED_000112
C24-097,UNIFIED_000265
C24-098,UNIFIED_000262
C24-107,UNIFIED_000011
C24-108,UNIFIED_000258
C24-109,UNIFIED_000145
C24-110,UNIFIED_000249
C24-111,UNIFIED_000027
C24-113,UNIFIED_000267
C24-116,UNIFIED_000263
C24-117,UNIFIED_000065
C24-118,UNIFIED_000268
C24-119,UNIFIED_000228
C24-120,UNIFIED_000064
C24-121,UNIFIED_000115
C24-122,UNIFIED_000117
C24-123,UNIFIED_000273
C24-124,UNIFIED_000087
C24-125,UNIFIED_000274
C24-126,UNIFIED_000266
C24-127,UNIFIED_000118
C24-128,UNIFIED_000054
C24-129,UNIFIED_000059
C24-130,UNIFIED_000105
C24-131,UNIFIED_000272
C24-132,UNIFIED_000276
C24-133,UNIFIED_000073
C24-010,UNIFIED_000073
C24-134,UNIFIED_000278
C24-135,UNIFIED_000060
C24-136,UNIFIED_000275
C24-137,UNIFIED_000242
C24-138,UNIFIED_000277
C24-139,UNIFIED_000271
C24-140,UNIFIED_000269
C24-141,UNIFIED_000028
C24-142,UNIFIED_000279
C24-144,UNIFIED_000214
C24-145,UNIFIED_000280
C24-004,UNIFIED_000280
C24-146,UNIFIED_000036
C24-147,UNIFIED_000283
C24-148,UNIFIED_000136
C24-149,UNIFIED_000284
C24-150,UNIFIED_000285
C24-151,UNIFIED_000019
C24-152,UNIFIED_000167
C25-001,UNIFIED_000270
C25-002,UNIFIED_000068
C25-003,UNIFIED_000116
C25-004,UNIFIED_000097
C25-005,UNIFIED_000101
C25-001,UNIFIED_000101
C25-006,UNIFIED_000282
C25-007,UNIFIED_000287
C25-008,UNIFIED_000281
C25-009,UNIFIED_000051
C25-010,UNIFIED_000043
C25-011,UNIFIED_000067
C25-012,UNIFIED_000288
C25-013,UNIFIED_000289
C25-014,UNIFIED_000286
C25-017,UNIFIED_000290
C25-018,UNIFIED_000133
C25-019,UNIFIED_000002
C25-020,UNIFIED_000003
C25-021,UNIFIED_000174
C25-022,UNIFIED_000291
