USUBJID,original_shape_MajorAxisLength_CT_Brain,original_shape_Maximum2DDiameterColumn_CT_Brain,original_firstorder_10Percentile_CT_Brain,original_firstorder_Energy_CT_Brain,original_firstorder_Skewness_CT_Brain,original_firstorder_Variance_CT_Brain,original_glcm_Autocorrelation_CT_Brain,original_glrlm_GrayLevelNonUniformity_CT_Brain,log-sigma-2-0-mm-3D_firstorder_Maximum_CT_Brain,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity_CT_Brain,log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis_CT_Brain,log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis_CT_Brain,log-sigma-5-0-mm-3D_firstorder_10Percentile_CT_Brain,wavelet-LLH_firstorder_Maximum_CT_Brain,wavelet-LLH_firstorder_Minimum_CT_Brain,wavelet-LHH_firstorder_Kurtosis_CT_Brain,wavelet-LHH_firstorder_Skewness_CT_Brain,wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis_CT_Brain,wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis_CT_Brain,wavelet-LLL_glrlm_GrayLevelNonUniformity_CT_Brain,wavelet-LLL_gldm_DependenceVariance_CT_Brain,square_glrlm_LongRunHighGrayLevelEmphasis_CT_Brain,square_glrlm_RunVariance_CT_Brain,square_glszm_LargeAreaEmphasis_CT_Brain,squareroot_glcm_Autocorrelation_CT_Brain,squareroot_glrlm_RunLengthNonUniformity_CT_Brain,squareroot_glszm_GrayLevelNonUniformity_CT_Brain,squareroot_glszm_LargeAreaEmphasis_CT_Brain,logarithm_glcm_ClusterProminence_CT_Brain,logarithm_glrlm_RunLengthNonUniformity_CT_Brain,logarithm_glszm_GrayLevelNonUniformity_CT_Brain,exponential_firstorder_Kurtosis_CT_Brain,original_firstorder_MeanAbsoluteDeviation_CT_GTV,original_glcm_ClusterShade_CT_GTV,log-sigma-2-0-mm-3D_firstorder_Kurtosis_CT_GTV,log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation_CT_GTV,log-sigma-2-0-mm-3D_firstorder_Skewness_CT_GTV,log-sigma-3-0-mm-3D_firstorder_Kurtosis_CT_GTV,log-sigma-5-0-mm-3D_firstorder_Skewness_CT_GTV,wavelet-LLH_firstorder_MeanAbsoluteDeviation_CT_GTV,wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis_CT_GTV,wavelet-LHL_firstorder_Skewness_CT_GTV,wavelet-LHL_glcm_ClusterShade_CT_GTV,wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis_CT_GTV,wavelet-HLH_firstorder_MeanAbsoluteDeviation_CT_GTV,wavelet-HHH_firstorder_Skewness_CT_GTV,squareroot_gldm_LargeDependenceEmphasis_CT_GTV,logarithm_glrlm_LongRunLowGrayLevelEmphasis_CT_GTV,logarithm_glszm_LargeAreaEmphasis_CT_GTV,logarithm_gldm_DependenceVariance_CT_GTV,original_glrlm_LongRunEmphasis_CT_Peritumor,original_glszm_GrayLevelVariance_CT_Peritumor,original_glszm_LargeAreaEmphasis_CT_Peritumor,original_gldm_DependenceVariance_CT_Peritumor,log-sigma-2-0-mm-3D_firstorder_Skewness_CT_Peritumor,log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis_CT_Peritumor,log-sigma-2-0-mm-3D_gldm_LargeDependenceEmphasis_CT_Peritumor,log-sigma-3-0-mm-3D_firstorder_Kurtosis_CT_Peritumor,log-sigma-4-0-mm-3D_firstorder_10Percentile_CT_Peritumor,wavelet-LLH_firstorder_MeanAbsoluteDeviation_CT_Peritumor,wavelet-LLH_firstorder_Skewness_CT_Peritumor,wavelet-LHL_firstorder_Kurtosis_CT_Peritumor,wavelet-LHL_firstorder_Skewness_CT_Peritumor,wavelet-LHH_firstorder_Skewness_CT_Peritumor,wavelet-HLL_firstorder_MeanAbsoluteDeviation_CT_Peritumor,wavelet-HLL_glcm_ClusterShade_CT_Peritumor,wavelet-HLH_firstorder_Skewness_CT_Peritumor,wavelet-HHL_firstorder_Skewness_CT_Peritumor,wavelet-HHL_glcm_ClusterShade_CT_Peritumor,wavelet-LLL_firstorder_Kurtosis_CT_Peritumor,square_firstorder_Maximum_CT_Peritumor,square_glcm_Autocorrelation_CT_Peritumor,squareroot_firstorder_Minimum_CT_Peritumor,squareroot_glrlm_RunVariance_CT_Peritumor,original_firstorder_InterquartileRange_MR_Brain,original_firstorder_Maximum_MR_Brain,original_firstorder_Minimum_MR_Brain,original_glszm_GrayLevelNonUniformity_MR_Brain,log-sigma-2-0-mm-3D_firstorder_Median_MR_Brain,wavelet-LHH_firstorder_Maximum_MR_Brain,wavelet-HLH_firstorder_Kurtosis_MR_Brain,wavelet-HHL_firstorder_Maximum_MR_Brain,wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis_MR_Brain,wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis_MR_Brain,exponential_firstorder_Kurtosis_MR_Brain,exponential_glszm_LargeAreaEmphasis_MR_Brain,original_firstorder_10Percentile_MR_GTV,log-sigma-3-0-mm-3D_firstorder_90Percentile_MR_GTV,wavelet-LLH_glcm_ClusterShade_MR_GTV,wavelet-LHL_firstorder_Median_MR_GTV,wavelet-LHL_glcm_ClusterShade_MR_GTV,wavelet-LHH_glcm_ClusterShade_MR_GTV,wavelet-HHH_glcm_ClusterShade_MR_GTV,original_firstorder_InterquartileRange_MR_Peritumor,original_firstorder_Kurtosis_MR_Peritumor,original_glszm_LargeAreaLowGrayLevelEmphasis_MR_Peritumor,original_gldm_LargeDependenceEmphasis_MR_Peritumor,log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis_MR_Peritumor,log-sigma-4-0-mm-3D_firstorder_Mean_MR_Peritumor,log-sigma-5-0-mm-3D_firstorder_Kurtosis_MR_Peritumor,wavelet-HLL_firstorder_Kurtosis_MR_Peritumor,wavelet-HLL_firstorder_Mean_MR_Peritumor,wavelet-HLL_glcm_Autocorrelation_MR_Peritumor,wavelet-HLH_glcm_ClusterShade_MR_Peritumor,wavelet-HHL_glcm_ClusterShade_MR_Peritumor,wavelet-HHH_firstorder_Kurtosis_MR_Peritumor,squareroot_firstorder_Kurtosis_MR_Peritumor,exponential_firstorder_Maximum_MR_Peritumor,exponential_firstorder_Median_MR_Peritumor
NGS0548,152.61577992544247,151.85519418182574,122.95832731998756,32640662599.74177,13.50832125318462,52.083948683104744,49.24743299848464,4876.702247514263,87.35733795166016,143.235807860262,18471793.184861716,1105761296.8558953,-0.3699319720268248,175.49504105549173,-343.96221085141565,57.99302387379157,-0.773609346864294,644975792.8909224,343.6449744950148,4518.416365530612,62.25573606973054,1176.9256505884457,230.62822636489608,2030673980.25,625.8712114609336,7769.8935152550275,989.18,5435394.399183674,985.4824513609,10036.143373601157,900.1472816024238,309.61653994871705,4.067155431496211,9.345803470098796,10.707708321998222,9.591735407456918,0.1503878532920576,7.268463563339616,-1.2326462079745044,2.8054018797782247,1653.580161487316,1.0883864182890923,1.053167725947057,2001.9350321989311,1.3398782581334363,-0.6968597954317223,466.289647960962,6.443436040849468,60934.66346153846,59.58659246247279,13.658083147568858,4.599202994807391,90961.010989011,30.861564366703178,1.3977054302004994,1415.3565609038228,153.3452855245684,4.173997472802551,-5.021306085586547,4.101484872765325,-1.7700206996897296,20.191309327451386,1.115104010580208,-2.1151715111643887,5.97523499427515,1.7325262676261777,-3.0574453326028914,-5.6514570081404845,-1.0889733609442802,16.87434470225484,37.65471422635093,1.0029682577268062,573.5142355893627,4.336847159979522,74.59019983498001,1052.5634408264627,-37.60826602459738,804.2979226271924,-5.167138576507568,579.0923476822144,18.23274803218563,668.8962873670735,320205239.57509637,325754053.5181331,6489.308298840093,108508982.88135593,100.57344045664338,47.78261337280281,-51.775071714246145,-0.3680529387500428,-24.908905444947543,4.472422747105802,-1.05976431519798,75.277163124342,6.329336120801147,4.1149142345293015,47.99269588313413,18.798477258819627,-8.790989778169083,4.98136552615677,13.049659513718126,-7.781988244986515,808.422564400609,-5.636904029277984,50.182534406098426,16.543863544171007,5.771274413832401,62.77591320434391,4.386596070596375
NGS0546,155.81988452138447,148.43180252223578,134.14508084049476,35060334210.30951,12.680555974268463,53.86051866969556,25.480711142465847,5417.635469571696,74.83668518066406,173.85041224970553,16178440.09187279,730887736.4487633,-0.5913108646869661,182.98982079198043,-296.76273176707156,70.4979439308643,2.1572176700913737,482983356.31329787,539.5542829139274,7604.253639229322,68.49042861297431,1067.7826326715217,282.0494677408194,126270287.5112782,145.653894936197,4390.1488855898815,358.0449881610103,11997205.687450672,47.05029853128376,4520.074934996132,537.8403205918619,337.93667982011374,1.5092328534709298,0.511685845703472,13.924750143109858,3.718233938857524,2.6639453397145263,9.291834928456565,0.2130107531223943,2.1259877652287567,28243.11126841365,7.382650140109353,0.3351005811472539,2864.714767742689,1.9364983516496703,2.0260813760747816,588.9310265015623,117.48862415292244,3073798.125,23.93175102626826,12.88741053054116,4.044370447450572,188107.1935483871,29.21870073314253,0.0988036392650347,7519.92625869029,172.25809243552015,8.743052799930824,-0.6400410890579223,3.918072945709518,4.300869336763901,38.97517141052903,2.166222669409176,-6.422313764812379,5.677874588206766,-8.688813349406477,2.478734508662655,-1.6767214210790162,-0.5083027365649125,27.79038508128849,280.64006502875196,1.091531244875542,230.01018693240084,5.1196168971272975,68.52300120986473,1105.990860381284,-30.92612588195007,900.8891307988612,-3.9149303436279297,546.9283003511164,18.464588571686846,625.1870694533134,374480745.1653714,371724851.71087533,6234.577482209424,82714713.585,198.74134537484017,26.037677764892575,-32.87807135674806,1.509474690770029,-6.512016349925329,1.7598235737851744,-2.0467648673923913,50.35216863570753,13.251991636799405,10.49930893764462,54.58109745542669,57.78430071547253,-2.462972024665565,9.576249581365705,18.570268158746124,-1.8030678805013085,1631.6664985851176,16.61323366956153,19.126440283640683,12.310265644366162,8.188659378725362,418.49668065214814,4.843659366951754
NGS0125,151.83577663467744,156.5247584249853,177.80778505692024,44197006704.78504,11.88901664981629,301.04370208148634,7.047801803663599,33233.61738959043,98.18695068359376,214.20200333889815,11038031.014190318,1780652458.7946577,-1.0847431182861318,175.2479639047487,-237.16673750257428,64.03745727110953,-1.4890116404758402,892116258.5880661,559.8777419412834,6164.0341263169375,68.78008480275167,586.1392138179466,329.61134083363584,23461375.94909345,16.548817420134966,3541.5502655191813,501.87388987566607,11501018.356305506,40.01146633785096,3929.8087775202944,347.795631825273,376.9104375559206,4.679436266947915,25.479655731335388,16.800973410263428,5.07777031147046,2.9257097409024064,10.275958077681215,0.1221655944158756,4.879837274413915,4393.272668550777,-0.0812695520438995,2.811359270470235,8339.612243219619,2.389670686486684,0.6641494692756331,397.28684275487535,28.98730866303344,1745542.2097902098,29.60096405061582,5.694117704667675,21.106880420572253,187869.6070763501,35.11213612829051,-0.1972311299273152,5007.263069877485,207.05372296305748,10.173543730140436,-0.8973167181015015,5.953765756591177,-1.2178731645380674,22.72383935127793,-0.4177072068965844,-0.9657424284739948,8.090175324945479,1.8967558464247456,-1.1656283023949343,-0.0002588001234663,-1.7820882159792353,22.18532778377785,274.1602959624959,2.6653756278540266,392.5926493895342,5.150495172157065,94.4833589589947,1228.8585805031084,-36.11249111488745,958.2104968328522,-4.730965614318848,600.5456798415615,18.88643025175061,873.3972372535789,294641516.1325933,295644344.0685954,2918.091721756643,53201854.88432268,115.79497204905924,59.13677787780765,-131.46910409371569,2.724838484761708,-672.5923566809456,28.117918246078887,0.7028187470777287,99.61709165315318,5.592375802661821,4.977174697988195,49.816180692911374,35.39155357466348,1.0232366710803331,5.27616913255055,12.868216060017431,-1.4735881641533972,1973.9251562867664,12.462960223052956,33.9721181952069,17.034204345122472,5.109145569446676,110.7631528142384,5.126252574725788
NGS0515,166.4909166320825,164.07315441594946,197.46507950665287,53557230853.46858,6.286256573448142,144.70487010804212,185.50371811502288,37967.51184983942,154.9561309814453,264.4706971005552,10456905.938926589,976268161.1030228,-7.766251373291012,305.55642638967146,-398.8012437214261,87.78149906533815,0.8678392363665571,934357859.0269372,928.5300559907124,8217.975085276546,74.06249773120447,2006.2356354336057,313.22702861787286,26575551.183870967,1288.7789019199995,9673.586126758146,910.4859387923904,6766579.450992556,42775.29345424084,2960.7352071145474,565.2839036755387,471.41276251539546,9.527665839238786,-152.0452343410059,48.07527878334736,4.683290335304432,6.006315555983585,46.87791732664223,2.280818088683521,5.200861358034898,1177.3272193811536,1.2949979409871235,5.923134913678758,1173.1453436694696,3.3606325678648106,-0.2619586635954406,524.599808291397,0.026232361187808,150692.75,43.03816387444786,8.48036646832022,0.2527434842249657,168042.85185185185,26.6191,2.447517783204088,33967.81078703704,181.07363636363635,4.393682631723168,-1.4384320616722106,24.790340476179324,1.440610788251971,190.7494000097338,-10.559878783939295,-1.39035436072092,5.011793316623283,0.9116683284357991,2.123217906401338,2.292066346794759,0.0373880412446019,49.30417907959341,53.3180583741328,3.2389786832967458,437.7176573936685,5.1926662501316665,102.09881836202408,947.2924443043704,-30.580349005525377,1230.2154126951937,-4.305224418640137,540.3134395838997,19.187911415472655,495.0097901426926,204883925.15004855,393641948.752761,219.83993038043388,159678776.62181818,298.4990037861833,65.32757568359376,-72.01525548500778,-1.7610359707887622,-395.5762730404967,14.267307010405377,-1.0599433724954623,59.47607774881948,4.6928983562101845,7.106868409222714,48.02590909090909,147.87533214403445,7.268541597270152,3.21358344957948,13.311558150509375,6.5108234133617255,722.8872255144604,-22.12990735880297,-3.714874966415064,13.880176603021958,5.810273408188949,53.77735819604586,8.664450347981727
NGS0149,156.83892839062693,154.9322432549145,151.93561475796122,41007472983.160805,10.1591983056864,43.93728105901942,25.40406013614453,5396.297077173658,90.38777160644533,210.94356659142213,16966519.546275396,549022464.7302483,-0.9567410409450527,175.62962755800555,-239.1550227665105,78.21539536132539,1.8154273987245215,580923775.5303469,825.702713864651,5837.6939531482985,66.09020566529477,3725.255060006243,337.7304688442749,44409041.82949309,63.0607936422346,4784.269017390732,660.9042292904579,11136982.64522894,2.225401194117291,11676.945642166982,961.8311148086524,1008.6855746493394,4.941406238083854,25.006330812188107,12.794286668312925,5.976277980170969,2.711471090554754,7.593368594773452,0.4885584445417512,10.106543855655891,204.98316729455073,1.5074228906997813,1.1470903710290017,11154.39136217516,2.1915820642868633,-0.3701090703536144,564.4463636363637,79.45425390493804,439636.09523809527,32.291726446281,26.64100038177264,0.29,1055281.05,25.215615842603448,3.4321579518918375,266646.1059722222,198.04042780748665,8.61221930500864,-0.5309414625167846,9.811921807901603,2.542704434081114,56.54439346764558,3.440210217686621,2.5602234555700956,1.7844264226264137,0.0643258754890747,-6.218458031408907,1.4670250125287738,0.0114955785163133,61.53438048159786,46.180746174381866,1.0006526913942022,342.1894102680888,10.270622998599247,95.35013704619568,1029.9774943428258,-31.041658718639773,1244.222352075488,-5.260989427566528,515.5903469624781,16.214797995202506,667.3934428435556,261611005.9405703,257710523.37487125,1097.9375405983803,113791410.71216618,142.24630933247167,28.146038818359365,-30.561711236682477,-0.8894543437413871,-2.9044789886787723,6.198675779100663,-1.4762333344213645,117.11811036083958,3.2751078801642364,5.141671828885421,52.60513368983957,34.68092476876324,-5.494279889607812,4.660757249141268,15.082336725380433,1.2518505427585214,1266.2748447705185,3.5709919081220085,2.398148615638513,18.858095977876225,4.869912642433664,29.929222608310397,4.79829921063201
NGS0524,147.4017457525255,153.80507143784305,193.07321279762917,47086003024.15057,10.8879584487759,45.81273064872767,101.50358107909572,8900.409098097844,147.81430053710938,184.7355072463768,12253507.435688406,541232743.8505435,-1.9996194362640376,423.61231143090254,-384.860886702484,80.28587705798165,1.1849610405376154,663862434.6503719,1426.567884552311,8414.679554847016,71.95486236851453,3773.3102027734258,329.1477106295212,46216637.36046512,492.8459914467407,13046.74373980952,772.2888418079096,8557386.44526836,11.438174087884583,1994.5448331088332,424.24599303135886,592.9526918074586,1.809385576802054,1.4141233646100455,114.83460518435426,1.124340296966717,2.1593797406003867,35.55352977030506,2.308144703226887,2.6293541375708327,5901.45672042116,-1.0471670088955511,-0.3568589013351059,26769.562961219617,1.848506355122644,2.077941072376981,571.9849356804333,0.7282595943703721,1273946.6666666667,35.43069536893619,16.678079091770567,3.1577078068437947,910352.1157024794,23.17185228729991,2.8725011237208644,59518.605995696555,183.44892324682496,6.609442254839485,-0.7234775424003601,14.088860503671532,0.8936017505638679,53.639955601373494,0.2017034156164681,3.933004330971289,4.449163126548744,3.0839326988709965,3.109192719731981,1.6583931589987655,0.1264454154221694,49.42634185292616,80.47502433653888,4.022720679913359,212.1547594558012,4.049325021514579,108.16953664045346,1079.5116419079593,-27.07826516131174,1281.2666282989394,-5.327090740203857,698.9642769825534,20.433153079680952,675.2239158944602,326680959.1563035,288631469.7901808,615.1645274571654,116081030.62012988,221.20000729334907,19.60664749145508,-26.825177124846864,0.5779997623447105,-48.89193863499926,1.7708461393170951,-0.3191300185838038,143.01293427804563,4.137635764503375,5.255638813669311,46.63335173937051,50.30976958253326,0.3478806227110991,3.307646877900503,23.667154061836,-1.367214080517137,2350.045208845223,22.33679174569037,2.644698101202257,18.950713848757403,3.5003207170684316,158.2015290758688,4.817704948044446
NGS0495,150.92576510289186,147.36349615830918,174.64128941735004,38721312424.09569,14.142826005230145,53.23829499932912,4.568939104348865,10653.229366924665,106.02838897705078,137.66821885913853,12161343.337601865,551463766.1140862,-0.721025812625885,278.4980531050426,-297.8516284809447,58.33005945457588,-0.091762748072195,594102704.2392788,531.3842437294807,15217.51158835193,63.68298338760902,838.0849282924812,316.8496728871406,34723847.57654321,8.474087358542292,6221.027921529308,775.89898989899,7881460.951298702,3.6159601336867215,3609.108358511158,292.07491856677524,1488.0786833948978,4.1540212750671754,1.597017770133282,2.3749649693911588,19.303053950817283,0.8762979916980248,2.3162020580875637,-0.2525451324050701,6.6430511629302185,4705.740132684555,4.307200075414604,1.6361231900088964,46.962128683602174,4.507417118667683,3.8440345673850462,346.671388101983,9.252421046888257,108307.88888888888,39.29560593536582,8.06711714618761,3.933927032461936,26557.915254237287,35.50033384197835,1.4113314405792117,1865.606113618525,132.45529010238909,3.2657979175537917,-0.6052907466888428,8.17216355996712,1.4076230627956436,31.46532061796683,4.716249792146858,-4.163469318725861,14.251355482069751,14.72066620410552,-2.504146170051808,-4.370504824108538,-1.4159222394207611,17.803026908408484,149.73884740348623,1.0910615514346476,391.89854527574033,1.2375890285358877,88.34636956477826,1150.842316022005,-35.43578990616518,755.0443389745832,-6.355854511260986,634.6440517954162,20.04207067976849,696.7142823912598,540555896.919126,396063635.69625217,2273.458408202406,53538880.104761906,121.7747958059052,43.1690628051758,-56.770934359392754,4.802303766036669,-613.5825632472944,2.5185589940383313,2.490845415019733,85.4852388910409,8.113301790730112,0.9231233086928984,28.425255972696245,6.849200155857904,-17.460343715518,4.706828392162542,13.958099525895504,-6.3079299986025195,580.5875078829994,2.9952572462382694,74.63914764202008,15.838802532861722,5.586691229742067,134.8621803199761,4.641288042037917
NGS0239,147.2671200362318,147.95945390545344,143.00346887899173,31502949327.18346,15.677810656428386,19.43709134636709,4.037266585035583,4813.907216942521,81.9869384765625,149.18800648298216,15734443.144246353,707912423.4635333,-1.309737479686737,169.02376064795436,-213.26937445432304,65.48760876517954,0.698360663115953,550918861.5728155,352.3975706018569,4847.428146315081,63.48021742072426,1050.7407341421515,216.92019811907772,3146822797.25,14.637913162421189,7838.148018204455,617.8245675961878,5527492.182139075,75.95321679493759,4393.9995451059585,483.70501474926255,671.1174929807366,0.6130321523295599,0.0,3.7093942946416862,0.2572004089416393,0.2053704623771645,4.063371940427369,2.7774189124290296,0.4860084070987204,291141.5,0.2570277568183075,0.0157230378194349,239501.3125,0.4033535528729064,0.0660464407842915,529.875,46.77364052670402,2768896.0,27.08062130177515,26.856484574928537,0.0,12320100.0,19.821892679442534,8.301789909256238,401994.6388888889,233.1982905982906,59.070980149183264,-0.3468213260173797,0.5854848814209018,0.0149299984247618,36.65757076956606,2.3726042318098512,0.1964267616147161,0.7931049917123849,-0.021829132826203,0.0879140385032999,0.0678682117049833,0.0055310316456923,3.797491350072336,53.964743325920345,1.0,250.5604047133357,7.3183228632546,98.270389137978,913.6285510971576,-31.888776543039512,1045.7165262041638,-5.191274881362915,577.5797723725401,18.17786484001439,730.8845250541575,280633178.170812,233898808.11592272,180.8229219506072,111027501.86547086,221.32642203477073,25.520066833496102,-5.608613385892241,-4.7149659431798705,36.55619293794216,1.2073269193556042,0.563923815966211,60.63213988043884,4.839072591898895,8.760249802637851,54.23874643874644,357.93274812518405,11.546064303717722,2.9670323093949107,9.938354340950063,4.151735090085956,473.88114414430487,42.27638686768553,5.2471750305484255,12.67210086550842,4.678165638727861,72.8909923428194,4.778841013799758
NGS0034,148.39120927211675,141.4213562373095,167.84021522159443,38032101898.39225,14.786771476586814,29.69243827675529,49.2534346961685,4664.945878396037,90.86482238769533,191.59806295399517,13779242.618644068,453367910.1646489,-0.4591655015945434,227.90621569075688,-232.25374760907977,66.55753593911878,0.2071096289631533,521352102.83290154,455.5831210516963,10225.604294375044,66.82878109918991,843.4887363942718,326.1222100662205,39631064.903005466,174.9995602420902,12384.663010871682,590.3634105960265,7796918.128725165,5.047091635122778,2427.733959465526,546.4731336186401,657.6225950897995,0.7837586500013318,-0.0295093764656151,105.04793168458056,0.9188681202648188,9.57693352900172,42.4093103131857,3.450379110555109,1.9541410779593935,15965.238832204115,24.84148689798452,0.0243433815301286,1409100.6862707136,0.7016237050722268,-1.9100967946014344,611.8749561680343,2.0040103720940463,25382814.125,19.542823017186468,36.3888493025592,0.9365234375,8140620.125,21.322834533725334,4.55442358564325,2074380.578872054,222.31415874583385,14.59254347050193,-0.3052471160888672,6.142577986697689,3.427135355632168,75.46242172116774,7.060712145496711,1.4749277407205066,1.2536890760678674,0.0039619153169481,-6.608729404796431,-2.178313351830642,-0.008073192024736,131.1651381523023,83.94981308908409,1.0033351708631018,381.7539958670867,12.795857265537329,81.1598760812659,1079.021892559398,-23.204237365566588,691.1336764075231,-5.038385391235352,802.4314959946272,20.753430774809996,743.1746118532641,860165468.4169959,375839353.4377946,441.2314591076225,51300535.16283186,266.277678810366,18.97745666503908,-87.14409631713225,0.40909322877945,-15.443344364542158,-2.834531545049872,-0.6544077469504033,75.8490204272889,10.366818889084565,25.450018586639295,85.2208369337119,190.64386155152923,-7.472959698674863,7.780922615891288,19.38168471343617,-0.5087934109764795,1481.9182572283282,23.485340785368244,11.78156561928646,26.493818741178753,8.056441010565607,223.1724017124524,5.834091837717706
NGS0290,157.33759884205253,154.7384890710776,152.41716636229373,41645168205.990685,12.5227280214945,69.04467751251013,64.70696660235905,5283.359910487446,71.63715362548828,234.26258992805757,14077857.866007194,454837176.5494604,-2.4616747856140138,203.53837986839824,-290.02191090272095,55.55564763745274,0.25375879332485,484156900.6642664,430.81787767546456,11786.471483771164,69.04714154831281,1034.9529455796771,339.0876641935072,71388850.41187051,443.6287774470447,4466.565298012239,372.27292263610315,13062552.01396848,47.490268064958805,4189.761498428486,378.8797595190381,341.1739615873551,1.749271323370147,0.3791877299099154,23.653454913891917,1.2590874859315904,-1.2093704110490104,17.95743552993175,-3.453012255778415,1.582734017787085,10526.028645833334,-6.058425266575109,-0.0119145273206805,2753.128263888889,1.1238683089910442,-1.4456122546254198,487.0840517241379,30.049141915007997,207089.5,36.4951694411415,10.772188925605748,11.641927083333334,49099.666666666664,25.700764493554548,-4.54742607317779,1212.6016448217215,173.34348355663823,14.211288027628328,-14.57313175201416,4.675160255378282,-0.1681820574879299,35.16448465678087,-2.3183661751540603,-3.9585041250048745,5.403073439978177,-2.6222814562249184,5.239790560852915,-0.1481105244354877,-0.0969335534540533,31.84234044652548,283.6518371365695,10.086259557438131,72.6825541642349,3.4501586214713313,88.58348001371354,1192.1867834563989,-26.79896151679555,1017.0596331890029,-2.8142800331115723,696.4390559094268,17.40215653158429,749.8553646004779,200620474.97057727,266435791.67777827,418.6983193527498,59793922.3224299,254.8426251958585,32.32096748352065,62.95238471463696,-17.084854876980803,-209.97351341454075,15.65463206597406,-3.420997768768831,159.33928060575815,5.3764948945764175,0.3397207088537486,18.1863580998782,0.3892666842051601,24.370707497091445,4.9005186031044365,9.71888961554915,7.1954427147321685,2298.893522737934,-41.7942047388302,60.58950210114378,7.077654702752615,3.552460876837332,1047.192074132597,5.447845802713002
