covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
AGE,0.019449721226557058,1.0196400993182877,0.02166410220999181,-0.02301113886242148,0.06191058131553559,0.9772515982415471,1.0638672108682843,0.0,0.8977857027274619,0.3692998083770349,1.437135580931903
HISTOL,0.855745749600149,2.353128571091156,0.4781356976236239,-0.08138299746508726,1.7928744966653853,0.9218405612267709,6.006693895869224,0.0,1.7897549876599468,0.07349330827283923,3.766243294398389
IDH,-1.3128925914830225,0.26904070490377613,0.7318412570578872,-2.747275097717001,0.12148991475095605,0.06410229593251544,1.1291779778266104,0.0,-1.7939581552986639,0.07281984799996456,3.779524460389251
MGMT,-0.38222938597171024,0.6823385163687867,0.5870945654221494,-1.5329135897183177,0.7684548177748971,0.21590568941628888,2.1564315983478255,0.0,-0.6510525024139319,0.5150125958623837,0.9573203776090302
Extent of surgical resection,-1.1732035278430084,0.3093742630127566,1.0610990164411287,-3.252919384098495,0.9065123284124783,0.038661176097748655,2.4756731241877534,0.0,-1.1056494348452726,0.26887828404110786,1.8949748542594391
BECOG,0.12886071383425673,1.1375316707059762,0.4794032941243487,-0.8107524767193293,1.0684739043878426,0.44452344679715544,2.9109337453004955,0.0,0.268793968280144,0.788088235201378,0.34357093048354254
